Count,Agent Name,Description,Severity Level
86,telaverge,New dpkg (Debian Package) installed.,8.9
87,telaverge,Dpkg (Debian Package) half configured.,7.3
88,telaverge,New dpkg (Debian Package) installed.,8.9
89,telaverge,Dpkg (Debian Package) removed.,7.7
90,telaverge,Dpkg (Debian Package) removed.,7.7
91,telaverge,Dpkg (Debian Package) half configured.,7.3
92,telaverge,New dpkg (Debian Package) installed.,8.9
93,telaverge,Dpkg (Debian Package) half configured.,7.3
94,telaverge,New dpkg (Debian Package) installed.,8.9
95,telaverge,File deleted.,8.0
96,telaverge,File deleted.,8.0
97,telaverge,New dpkg (Debian Package) installed.,8.9
98,telaverge,New dpkg (Debian Package) installed.,8.9
99,telaverge,New dpkg (Debian Package) installed.,8.9
100,telaverge,New dpkg (Debian Package) installed.,8.9
101,telaverge,New dpkg (Debian Package) installed.,8.9
102,telaverge,New dpkg (Debian Package) installed.,8.9
103,telaverge,New dpkg (Debian Package) installed.,8.9
104,telaverge,New dpkg (Debian Package) installed.,8.9
105,telaverge,New dpkg (Debian Package) installed.,8.9
106,telaverge,New dpkg (Debian Package) installed.,8.9
107,telaverge,New dpkg (Debian Package) installed.,8.9
108,telaverge,PAM: Login session opened.,4.0
109,telaverge,Successful sudo to ROOT executed.,9.4
110,telaverge,Successful sudo to ROOT executed.,9.4
111,telaverge,PAM: Login session opened.,4.0
112,telaverge,Successful sudo to ROOT executed.,9.4
113,telaverge,Successful sudo to ROOT executed.,9.4
114,telaverge,PAM: Login session opened.,4.0
115,telaverge,Systemd: Service exited due to a failure.,2.0
116,telaverge,Systemd: Service exited due to a failure.,2.0
117,telaverge,Systemd: Service exited due to a failure.,2.0
118,telaverge,Systemd: Service exited due to a failure.,2.0
119,sushant-VirtualBox,Integrity checksum changed.,7.5
120,sushant-VirtualBox,Integrity checksum changed.,7.5
121,sushant-VirtualBox,Integrity checksum changed.,7.5
122,sushant-VirtualBox,Systemd: Service exited due to a failure.,2.0
123,sushant-VirtualBox,PAM: Login session opened.,4.0
124,sushant-VirtualBox,Auditd: SELinux permission check.,7.0
125,telaverge,Listened ports status (netstat) changed (new port opened or closed).,3.5
126,Subhankar-Virtualbox,Successful sudo to ROOT executed.,9.4
127,Subhankar-Virtualbox,PAM: Login session opened.,4.0
128,telaverge,sshd: authentication success.,8.8
129,telaverge,sshd: authentication success.,8.8
130,telaverge,PAM: Login session closed.,2.3
131,Subhankar-Virtualbox,Apparmor DENIED,5.0
132,sushant-VirtualBox,Host-based anomaly detection event (rootcheck).,6.0
133,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
134,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
135,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
136,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
137,sushant-VirtualBox,Audit: Command: /usr/bin/systemctl.,6.0
138,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
139,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
140,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
141,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
142,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
143,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
144,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
145,sushant-VirtualBox,Audit: Command: /usr/bin/basename.,1.3
146,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
147,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
148,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
149,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
150,sushant-VirtualBox,Audit: Command: /usr/bin/gzip.,3.3
151,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
152,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
153,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
154,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
155,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
156,sushant-VirtualBox,Audit: Command: /usr/bin/date.,0.3
157,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
158,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
159,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
160,sushant-VirtualBox,Audit: Command: /usr/bin/uname.,
161,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
162,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
163,sushant-VirtualBox,Audit: Command: /usr/bin/last.,0.9
164,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
165,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
166,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
167,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
168,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
169,sushant-VirtualBox,Audit: Command: /usr/bin/df.,
170,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
171,sushant-VirtualBox,Audit: Command: /usr/sbin/auditctl.,
172,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
173,sushant-VirtualBox,Audit: Command: /usr/bin/nano.,
174,sushant-VirtualBox,Audit: Command: /usr/bin/nano.,
175,sushant-VirtualBox,Audit: Command: /usr/bin/ls.,
176,sushant-VirtualBox,Audit: Command: /usr/bin/df.,
177,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
178,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
179,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
180,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
181,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
182,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
183,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
184,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
185,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
186,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
187,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
188,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
189,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
190,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
191,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
192,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
193,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
194,sushant-VirtualBox,Audit: Command: /usr/bin/mktemp.,3.5
195,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
196,sushant-VirtualBox,Audit: Command: /usr/bin/ischroot.,2.5
197,sushant-VirtualBox,Audit: Command: /usr/bin/chmod.,7.8
198,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
199,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
200,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
201,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
202,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
203,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
204,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
205,sushant-VirtualBox,Audit: Command: /usr/bin/find.,2.2
206,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
207,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
208,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
209,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
210,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
211,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
212,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
213,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
214,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
215,sushant-VirtualBox,Audit: Command: /usr/bin/find.,2.2
216,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
217,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
218,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
219,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
220,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
221,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
222,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
223,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
224,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
225,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
226,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
227,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
228,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
229,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
230,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
231,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
232,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
233,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
234,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
235,sushant-VirtualBox,Audit: Command: /usr/bin/tar.,4.1
236,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
237,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
238,sushant-VirtualBox,Audit: Command: /usr/bin/tar.,4.1
239,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
240,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
241,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
242,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
243,sushant-VirtualBox,Audit: Command: /usr/bin/echo.,5.1
244,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
245,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
246,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
247,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
248,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
249,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
250,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
251,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
252,sushant-VirtualBox,Audit: Command: /usr/bin/dirname.,
253,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
254,sushant-VirtualBox,Audit: Command: /usr/bin/ischroot.,2.5
255,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
256,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
257,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
258,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
259,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
260,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
261,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
262,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
263,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
264,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
265,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
266,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
267,sushant-VirtualBox,Audit: Command: /usr/bin/date.,0.3
268,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
269,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,
270,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,
271,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,
272,sushant-VirtualBox,Audit: Command: /usr/bin/df.,
273,sushant-VirtualBox,Audit: Command: /usr/bin/last.,0.9
274,sushant-VirtualBox,Audit: Command: /usr/bin/df.,
275,Subhankar-Virtualbox,Successful sudo to ROOT executed.,9.4
276,telaverge,Host-based anomaly detection event (rootcheck).,6.0
277,telaverge,Host-based anomaly detection event (rootcheck).,6.0
278,Subhankar-Virtualbox,CVE-2022-21127 affects intel-microcode,
279,Subhankar-Virtualbox,CVE-2022-3924 affects bind9-libs,
280,Subhankar-Virtualbox,CVE-2022-1520 affects thunderbird,
281,Subhankar-Virtualbox,CVE-2023-26966 affects libtiff5,
282,Subhankar-Virtualbox,CVE-2022-1529 affects thunderbird-gnome-support,
283,Subhankar-Virtualbox,CVE-2023-21929 affects libmysqlclient21,
284,Subhankar-Virtualbox,CVE-2022-1473 affects libssl1.1,
285,Subhankar-Virtualbox,CVE-2023-21870 affects libmysqlclient21,
286,Subhankar-Virtualbox,CVE-2022-21637 affects libmysqlclient21,
287,Subhankar-Virtualbox,CVE-2021-36047 affects libexempi8,
288,Subhankar-Virtualbox,CVE-2023-21875 affects libmysqlclient21,
289,Subhankar-Virtualbox,CVE-2023-21877 affects libmysqlclient21,
290,Subhankar-Virtualbox,CVE-2023-31484 affects perl-modules-5.30,
291,Subhankar-Virtualbox,CVE-2023-25358 affects gir1.2-webkit2-4.0,
292,Subhankar-Virtualbox,CVE-2023-25358 affects libjavascriptcoregtk-4.0-18,
293,Subhankar-Virtualbox,CVE-2023-25358 affects libwebkit2gtk-4.0-37,
294,Subhankar-Virtualbox,CVE-2022-2344 affects vim-common,
295,Subhankar-Virtualbox,CVE-2022-2344 affects vim-tiny,
296,Subhankar-Virtualbox,CVE-2022-2345 affects vim-tiny,
297,Subhankar-Virtualbox,CVE-2022-3821 affects libpam-systemd,
298,Subhankar-Virtualbox,CVE-2022-3821 affects libsystemd0,
299,Subhankar-Virtualbox,CVE-2022-3821 affects systemd-sysv,
300,Subhankar-Virtualbox,CVE-2022-3821 affects systemd-timesyncd,
301,Subhankar-Virtualbox,CVE-2022-3821 affects udev,
302,Subhankar-Virtualbox,CVE-2022-42898 affects libgssapi-krb5-2,
303,Subhankar-Virtualbox,CVE-2023-26769 affects python3-louis,
304,Subhankar-Virtualbox,CVE-2022-41877 affects libwinpr2-2,
305,Subhankar-Virtualbox,CVE-2022-1271 affects liblzma5,
306,Subhankar-Virtualbox,CVE-2020-18768 affects libtiff5,
307,Subhankar-Virtualbox,CVE-2023-32205 affects thunderbird-gnome-support,
308,Subhankar-Virtualbox,CVE-2023-32206 affects thunderbird,
309,Subhankar-Virtualbox,CVE-2022-3570 affects libtiff5,
310,Subhankar-Virtualbox,CVE-2022-3016 affects vim-common,
311,Subhankar-Virtualbox,CVE-2022-3016 affects xxd,
312,Subhankar-Virtualbox,CVE-2023-3341 affects bind9-libs,
313,Subhankar-Virtualbox,CVE-2021-4115 affects gir1.2-polkit-1.0,
314,Subhankar-Virtualbox,CVE-2021-4115 affects libpolkit-gobject-1-0,
315,Subhankar-Virtualbox,CVE-2022-40957 affects thunderbird,
316,Subhankar-Virtualbox,CVE-2022-39250 affects thunderbird-gnome-support,
317,Subhankar-Virtualbox,CVE-2022-0351 affects xxd,
318,Subhankar-Virtualbox,CVE-2020-12801 affects fonts-opensymbol,
319,Subhankar-Virtualbox,CVE-2021-42530 affects libexempi8,
320,Subhankar-Virtualbox,CVE-2022-42898 affects libheimntlm0-heimdal,
321,Subhankar-Virtualbox,CVE-2022-42898 affects libroken18-heimdal,
322,Subhankar-Virtualbox,CVE-2022-42898 affects libsmbclient,
323,Subhankar-Virtualbox,CVE-2022-33068 affects libharfbuzz0b,
324,Subhankar-Virtualbox,CVE-2022-24882 affects libfreerdp2-2,
325,Subhankar-Virtualbox,CVE-2022-24883 affects libfreerdp-client2-2,
326,Subhankar-Virtualbox,CVE-2022-38023 affects samba-libs,
327,Subhankar-Virtualbox,CVE-2022-0554 affects xxd,
328,Subhankar-Virtualbox,CVE-2021-46829 affects libgdk-pixbuf2.0-common,
329,Subhankar-Virtualbox,CVE-2022-29799 affects networkd-dispatcher,
330,Subhankar-Virtualbox,CVE-2022-2906 affects bind9-host,
331,Subhankar-Virtualbox,CVE-2019-20838 affects libpcre3,
332,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-base-core,
333,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-calc,
334,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-core,
335,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-draw,
336,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-help-en-us,
337,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-math,
338,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-ogltrans,
339,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-pdfimport,
340,Subhankar-Virtualbox,CVE-2022-37052 affects libpoppler-cpp0v5,
341,Subhankar-Virtualbox,CVE-2022-42799 affects libjavascriptcoregtk-4.0-18,
342,Subhankar-Virtualbox,CVE-2023-22038 affects libmysqlclient21,
343,Subhankar-Virtualbox,CVE-2022-3116 affects libhx509-5-heimdal,
344,Subhankar-Virtualbox,CVE-2022-3116 affects libkrb5-26-heimdal,
345,Subhankar-Virtualbox,CVE-2023-23517 affects gir1.2-webkit2-4.0,
346,Subhankar-Virtualbox,CVE-2023-23517 affects libjavascriptcoregtk-4.0-18,
347,Subhankar-Virtualbox,CVE-2023-23518 affects gir1.2-webkit2-4.0,
348,Subhankar-Virtualbox,CVE-2023-23518 affects libjavascriptcoregtk-4.0-18,
349,Subhankar-Virtualbox,CVE-2023-3446 affects openssl,
350,Subhankar-Virtualbox,CVE-2021-4217 affects unzip,
351,Subhankar-Virtualbox,CVE-2021-4166 affects vim-tiny,
352,Subhankar-Virtualbox,CVE-2022-30783 affects libntfs-3g883,
353,Subhankar-Virtualbox,CVE-2022-30784 affects libntfs-3g883,
354,Subhankar-Virtualbox,CVE-2022-30786 affects libntfs-3g883,
355,Subhankar-Virtualbox,CVE-2022-30786 affects ntfs-3g,
356,Subhankar-Virtualbox,CVE-2022-30787 affects libntfs-3g883,
357,Subhankar-Virtualbox,CVE-2022-30788 affects ntfs-3g,
358,Subhankar-Virtualbox,CVE-2022-30789 affects ntfs-3g,
359,Subhankar-Virtualbox,CVE-2023-26767 affects python3-louis,
360,telaverge,CVE-2017-2616 affects bsdutils,
361,telaverge,CVE-2013-0157 affects bsdutils,
362,telaverge,CVE-2014-9114 affects bsdutils,
363,telaverge,CVE-2019-15847 affects libgcc1,
364,yuvipep-dev,CVE-2018-16876 affects ansible,
365,yuvipep-dev,CVE-2018-16837 affects ansible,
366,yuvipep-dev,CVE-2017-7466 affects ansible,
367,yuvipep-dev,CVE-2023-31419 affects elasticsearch,
368,yuvipep-dev,CVE-2016-2779 affects bsdutils,
369,yuvipep-dev,CVE-2017-7481 affects ansible,
370,yuvipep-dev,CVE-2022-39046 affects multiarch-support,
371,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-writer,
372,Subhankar-Virtualbox,CVE-2023-6185 affects libridl-java,
373,Subhankar-Virtualbox,CVE-2023-6185 affects libuno-cppuhelpergcc3-3,
374,Subhankar-Virtualbox,CVE-2023-6185 affects python3-uno,
375,Subhankar-Virtualbox,CVE-2023-6185 affects uno-libs-private,
376,Subhankar-Virtualbox,CVE-2023-6186 affects fonts-opensymbol,
377,Subhankar-Virtualbox,CVE-2023-6186 affects libjurt-java,
378,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-base-core,
379,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-calc,
380,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-common,
381,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-help-common,
382,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-ogltrans,
383,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-style-elementary,
384,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-style-tango,
385,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-writer,
386,Subhankar-Virtualbox,CVE-2023-6186 affects libridl-java,
387,Subhankar-Virtualbox,CVE-2023-6186 affects libunoloader-java,
388,Subhankar-Virtualbox,CVE-2023-6186 affects uno-libs-private,
389,Subhankar-Virtualbox,CVE-2023-7104 affects libsqlite3-0,
390,Subhankar-Virtualbox,CVE-2022-21537 affects libmysqlclient21,
391,Subhankar-Virtualbox,CVE-2022-21539 affects libmysqlclient21,
392,Subhankar-Virtualbox,CVE-2020-35522 affects libtiff5,
393,Subhankar-Virtualbox,CVE-2022-37050 affects libpoppler-glib8,
394,Subhankar-Virtualbox,CVE-2023-27932 affects gir1.2-webkit2-4.0,
395,Subhankar-Virtualbox,CVE-2023-5380 affects xwayland,
396,Subhankar-Virtualbox,CVE-2023-2828 affects bind9-host,
397,Subhankar-Virtualbox,CVE-2022-21125 affects intel-microcode,
398,telaverge,PAM: Login session closed.,2.3
399,telaverge,Host-based anomaly detection event (rootcheck).,6.0
400,telaverge,Host-based anomaly detection event (rootcheck).,6.0
401,Subhankar-Virtualbox,CVE-2023-34872 affects libpoppler-cpp0v5,
402,Subhankar-Virtualbox,CVE-2023-0547 affects thunderbird,
403,Subhankar-Virtualbox,CVE-2023-0547 affects thunderbird-gnome-support,
404,Subhankar-Virtualbox,CVE-2023-4580 affects thunderbird-gnome-support,
405,Subhankar-Virtualbox,CVE-2023-4581 affects thunderbird,
406,Subhankar-Virtualbox,CVE-2023-4583 affects thunderbird-gnome-support,
407,Subhankar-Virtualbox,CVE-2023-4584 affects thunderbird,
408,Subhankar-Virtualbox,CVE-2022-45198 affects python3-pil,
409,Subhankar-Virtualbox,CVE-2023-44487 affects libnghttp2-14,
410,Subhankar-Virtualbox,CVE-2023-20569 affects amd64-microcode,
411,Subhankar-Virtualbox,CVE-2023-0494 affects xserver-xephyr,
412,Subhankar-Virtualbox,CVE-2023-27954 affects gir1.2-javascriptcoregtk-4.0,
413,Subhankar-Virtualbox,CVE-2023-27954 affects gir1.2-webkit2-4.0,
414,Subhankar-Virtualbox,CVE-2022-22620 affects gir1.2-webkit2-4.0,
415,Subhankar-Virtualbox,CVE-2022-22620 affects libwebkit2gtk-4.0-37,
416,Subhankar-Virtualbox,CVE-2022-22624 affects gir1.2-javascriptcoregtk-4.0,
417,Subhankar-Virtualbox,CVE-2022-22629 affects gir1.2-javascriptcoregtk-4.0,
418,Subhankar-Virtualbox,CVE-2021-44648 affects libgdk-pixbuf2.0-0,
419,Subhankar-Virtualbox,CVE-2021-44648 affects libgdk-pixbuf2.0-bin,
420,Subhankar-Virtualbox,CVE-2021-44648 affects libgdk-pixbuf2.0-common,
421,Subhankar-Virtualbox,CVE-2016-10228 affects libc-bin,
422,Subhankar-Virtualbox,CVE-2023-28164 affects thunderbird,
423,Subhankar-Virtualbox,CVE-2022-0729 affects vim-common,
424,Subhankar-Virtualbox,CVE-2022-28282 affects thunderbird-gnome-support,
