Count,Agent Name,Description,Severity Level
86,telaverge,New dpkg (Debian Package) installed.,8.9
87,telaverge,Dpkg (Debian Package) half configured.,7.3
88,telaverge,New dpkg (Debian Package) installed.,8.9
89,telaverge,Dpkg (Debian Package) removed.,7.7
90,telaverge,Dpkg (Debian Package) removed.,7.7
91,telaverge,Dpkg (Debian Package) half configured.,7.3
92,telaverge,New dpkg (Debian Package) installed.,8.9
93,telaverge,Dpkg (Debian Package) half configured.,7.3
94,telaverge,New dpkg (Debian Package) installed.,8.9
95,telaverge,File deleted.,8.0
96,telaverge,File deleted.,8.0
97,telaverge,New dpkg (Debian Package) installed.,8.9
98,telaverge,New dpkg (Debian Package) installed.,8.9
99,telaverge,New dpkg (Debian Package) installed.,8.9
100,telaverge,New dpkg (Debian Package) installed.,8.9
101,telaverge,New dpkg (Debian Package) installed.,8.9
102,telaverge,New dpkg (Debian Package) installed.,8.9
103,telaverge,New dpkg (Debian Package) installed.,8.9
104,telaverge,New dpkg (Debian Package) installed.,8.9
105,telaverge,New dpkg (Debian Package) installed.,8.9
106,telaverge,New dpkg (Debian Package) installed.,8.9
107,telaverge,New dpkg (Debian Package) installed.,8.9
108,telaverge,PAM: Login session opened.,4.0
109,telaverge,Successful sudo to ROOT executed.,9.4
110,telaverge,Successful sudo to ROOT executed.,9.4
111,telaverge,PAM: Login session opened.,4.0
112,telaverge,Successful sudo to ROOT executed.,9.4
113,telaverge,Successful sudo to ROOT executed.,9.4
114,telaverge,PAM: Login session opened.,4.0
115,telaverge,Systemd: Service exited due to a failure.,2.0
116,telaverge,Systemd: Service exited due to a failure.,2.0
117,telaverge,Systemd: Service exited due to a failure.,2.0
118,telaverge,Systemd: Service exited due to a failure.,2.0
119,sushant-VirtualBox,Integrity checksum changed.,7.5
120,sushant-VirtualBox,Integrity checksum changed.,7.5
121,sushant-VirtualBox,Integrity checksum changed.,7.5
122,sushant-VirtualBox,Systemd: Service exited due to a failure.,2.0
123,sushant-VirtualBox,PAM: Login session opened.,4.0
124,sushant-VirtualBox,Auditd: SELinux permission check.,7.0
125,telaverge,Listened ports status (netstat) changed (new port opened or closed).,3.5
126,Subhankar-Virtualbox,Successful sudo to ROOT executed.,9.4
127,Subhankar-Virtualbox,PAM: Login session opened.,4.0
128,telaverge,sshd: authentication success.,8.8
129,telaverge,sshd: authentication success.,8.8
130,telaverge,PAM: Login session closed.,2.3
131,Subhankar-Virtualbox,Apparmor DENIED,5.0
132,sushant-VirtualBox,Host-based anomaly detection event (rootcheck).,6.0
133,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
134,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
135,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
136,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
137,sushant-VirtualBox,Audit: Command: /usr/bin/systemctl.,6.0
138,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
139,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
140,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
141,sushant-VirtualBox,Audit: Command: /usr/lib/apt/apt.,5.2
142,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
143,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
144,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
145,sushant-VirtualBox,Audit: Command: /usr/bin/basename.,1.3
146,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
147,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
148,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
149,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
150,sushant-VirtualBox,Audit: Command: /usr/bin/gzip.,3.3
151,sushant-VirtualBox,Audit: Command: /usr/bin/mv.,6.7
152,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
153,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
154,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
155,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
156,sushant-VirtualBox,Audit: Command: /usr/bin/date.,0.3
157,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
158,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
159,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
160,sushant-VirtualBox,Audit: Command: /usr/bin/uname.,9.054352592216661
161,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
162,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
163,sushant-VirtualBox,Audit: Command: /usr/bin/last.,0.9
164,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
165,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
166,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
167,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
168,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
169,sushant-VirtualBox,Audit: Command: /usr/bin/df.,8.693749737857834
170,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
171,sushant-VirtualBox,Audit: Command: /usr/sbin/auditctl.,1.2474567634883793
172,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
173,sushant-VirtualBox,Audit: Command: /usr/bin/nano.,2.214911709583781
174,sushant-VirtualBox,Audit: Command: /usr/bin/nano.,4.4376515157937435
175,sushant-VirtualBox,Audit: Command: /usr/bin/ls.,5.669724758204606
176,sushant-VirtualBox,Audit: Command: /usr/bin/df.,7.737464243573462
177,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
178,sushant-VirtualBox,Audit: Command: /usr/bin/sed.,0.9
179,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
180,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
181,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
182,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
183,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
184,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
185,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
186,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
187,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
188,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
189,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
190,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
191,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
192,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
193,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
194,sushant-VirtualBox,Audit: Command: /usr/bin/mktemp.,3.5
195,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
196,sushant-VirtualBox,Audit: Command: /usr/bin/ischroot.,2.5
197,sushant-VirtualBox,Audit: Command: /usr/bin/chmod.,7.8
198,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
199,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
200,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
201,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
202,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
203,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
204,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
205,sushant-VirtualBox,Audit: Command: /usr/bin/find.,2.2
206,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
207,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
208,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
209,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
210,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
211,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
212,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
213,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
214,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
215,sushant-VirtualBox,Audit: Command: /usr/bin/find.,2.2
216,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
217,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
218,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
219,sushant-VirtualBox,Audit: Command: /usr/bin/cat.,0.9
220,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
221,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
222,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
223,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
224,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
225,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
226,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
227,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
228,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
229,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
230,sushant-VirtualBox,Audit: Command: /usr/bin/perl.,3.2
231,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
232,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
233,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
234,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
235,sushant-VirtualBox,Audit: Command: /usr/bin/tar.,4.1
236,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
237,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
238,sushant-VirtualBox,Audit: Command: /usr/bin/tar.,4.1
239,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
240,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
241,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
242,sushant-VirtualBox,Audit: Command: /usr/bin/test.,0.9
243,sushant-VirtualBox,Audit: Command: /usr/bin/echo.,5.1
244,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
245,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
246,sushant-VirtualBox,Dpkg (Debian Package) half configured.,7.3
247,sushant-VirtualBox,New dpkg (Debian Package) installed.,8.9
248,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
249,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
250,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
251,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
252,sushant-VirtualBox,Audit: Command: /usr/bin/dirname.,3.6614283515341537
253,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
254,sushant-VirtualBox,Audit: Command: /usr/bin/ischroot.,2.5
255,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
256,sushant-VirtualBox,Audit: Command: /usr/bin/rm.,6.9
257,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
258,sushant-VirtualBox,Audit: Command: /usr/bin/touch.,3.5
259,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
260,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
261,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
262,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
263,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
264,sushant-VirtualBox,Audit: Command: /usr/bin/apt.,3.9
265,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
266,sushant-VirtualBox,Audit: Command: /usr/bin/dpkg.,3.4
267,sushant-VirtualBox,Audit: Command: /usr/bin/date.,0.3
268,sushant-VirtualBox,Audit: Command: /usr/bin/dash.,1.1
269,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,9.119684074958913
270,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,1.4862357083001942
271,sushant-VirtualBox,Audit: Command: /usr/bin/fuser.,3.825137539761092
272,sushant-VirtualBox,Audit: Command: /usr/bin/df.,5.497856729235035
273,sushant-VirtualBox,Audit: Command: /usr/bin/last.,0.9
274,sushant-VirtualBox,Audit: Command: /usr/bin/df.,1.455593673024147
275,Subhankar-Virtualbox,Successful sudo to ROOT executed.,9.4
276,telaverge,Host-based anomaly detection event (rootcheck).,6.0
277,telaverge,Host-based anomaly detection event (rootcheck).,6.0
278,Subhankar-Virtualbox,CVE-2022-21127 affects intel-microcode,9.134895524507469
279,Subhankar-Virtualbox,CVE-2022-3924 affects bind9-libs,8.275029370905525
280,Subhankar-Virtualbox,CVE-2022-1520 affects thunderbird,6.871344665391785
281,Subhankar-Virtualbox,CVE-2023-26966 affects libtiff5,4.687446065984341
282,Subhankar-Virtualbox,CVE-2022-1529 affects thunderbird-gnome-support,1.2018948303470034
283,Subhankar-Virtualbox,CVE-2023-21929 affects libmysqlclient21,8.497078910416088
284,Subhankar-Virtualbox,CVE-2022-1473 affects libssl1.1,1.3277598144735503
285,Subhankar-Virtualbox,CVE-2023-21870 affects libmysqlclient21,3.553769200183512
286,Subhankar-Virtualbox,CVE-2022-21637 affects libmysqlclient21,1.153066179613742
287,Subhankar-Virtualbox,CVE-2021-36047 affects libexempi8,5.617886129351901
288,Subhankar-Virtualbox,CVE-2023-21875 affects libmysqlclient21,6.141392863822087
289,Subhankar-Virtualbox,CVE-2023-21877 affects libmysqlclient21,7.351075728614889
290,Subhankar-Virtualbox,CVE-2023-31484 affects perl-modules-5.30,1.331389618966704
291,Subhankar-Virtualbox,CVE-2023-25358 affects gir1.2-webkit2-4.0,6.827039014499945
292,Subhankar-Virtualbox,CVE-2023-25358 affects libjavascriptcoregtk-4.0-18,9.182995365114744
293,Subhankar-Virtualbox,CVE-2023-25358 affects libwebkit2gtk-4.0-37,5.255848841367658
294,Subhankar-Virtualbox,CVE-2022-2344 affects vim-common,8.557085564115994
295,Subhankar-Virtualbox,CVE-2022-2344 affects vim-tiny,2.608443135844113
296,Subhankar-Virtualbox,CVE-2022-2345 affects vim-tiny,0.12069697259368461
297,Subhankar-Virtualbox,CVE-2022-3821 affects libpam-systemd,4.309799396150378
298,Subhankar-Virtualbox,CVE-2022-3821 affects libsystemd0,2.7688672700341233
299,Subhankar-Virtualbox,CVE-2022-3821 affects systemd-sysv,7.58857786397339
300,Subhankar-Virtualbox,CVE-2022-3821 affects systemd-timesyncd,8.162271113649947
301,Subhankar-Virtualbox,CVE-2022-3821 affects udev,5.084592526030005
302,Subhankar-Virtualbox,CVE-2022-42898 affects libgssapi-krb5-2,1.205760425103809
303,Subhankar-Virtualbox,CVE-2023-26769 affects python3-louis,5.33372562581906
304,Subhankar-Virtualbox,CVE-2022-41877 affects libwinpr2-2,5.077888569096193
305,Subhankar-Virtualbox,CVE-2022-1271 affects liblzma5,6.648434437429961
306,Subhankar-Virtualbox,CVE-2020-18768 affects libtiff5,8.4590343613808
307,Subhankar-Virtualbox,CVE-2023-32205 affects thunderbird-gnome-support,4.721266730359116
308,Subhankar-Virtualbox,CVE-2023-32206 affects thunderbird,4.465772126335895
309,Subhankar-Virtualbox,CVE-2022-3570 affects libtiff5,4.5751103210426205
310,Subhankar-Virtualbox,CVE-2022-3016 affects vim-common,6.682077573045399
311,Subhankar-Virtualbox,CVE-2022-3016 affects xxd,1.9716138360488333
312,Subhankar-Virtualbox,CVE-2023-3341 affects bind9-libs,6.546842647849354
313,Subhankar-Virtualbox,CVE-2021-4115 affects gir1.2-polkit-1.0,7.2788531402899395
314,Subhankar-Virtualbox,CVE-2021-4115 affects libpolkit-gobject-1-0,8.044675323128333
315,Subhankar-Virtualbox,CVE-2022-40957 affects thunderbird,7.450099332682977
316,Subhankar-Virtualbox,CVE-2022-39250 affects thunderbird-gnome-support,6.62526672372285
317,Subhankar-Virtualbox,CVE-2022-0351 affects xxd,9.836537977799336
318,Subhankar-Virtualbox,CVE-2020-12801 affects fonts-opensymbol,3.2705029082261614
319,Subhankar-Virtualbox,CVE-2021-42530 affects libexempi8,3.6509436789361693
320,Subhankar-Virtualbox,CVE-2022-42898 affects libheimntlm0-heimdal,6.4077334633919945
321,Subhankar-Virtualbox,CVE-2022-42898 affects libroken18-heimdal,8.010874433905022
322,Subhankar-Virtualbox,CVE-2022-42898 affects libsmbclient,7.182117483806745
323,Subhankar-Virtualbox,CVE-2022-33068 affects libharfbuzz0b,9.744900620395603
324,Subhankar-Virtualbox,CVE-2022-24882 affects libfreerdp2-2,9.821681610941562
325,Subhankar-Virtualbox,CVE-2022-24883 affects libfreerdp-client2-2,1.798077927390821
326,Subhankar-Virtualbox,CVE-2022-38023 affects samba-libs,7.327193566625798
327,Subhankar-Virtualbox,CVE-2022-0554 affects xxd,0.9969458216474136
328,Subhankar-Virtualbox,CVE-2021-46829 affects libgdk-pixbuf2.0-common,0.021310518706115777
329,Subhankar-Virtualbox,CVE-2022-29799 affects networkd-dispatcher,8.913650982906795
330,Subhankar-Virtualbox,CVE-2022-2906 affects bind9-host,7.336845830004116
331,Subhankar-Virtualbox,CVE-2019-20838 affects libpcre3,8.017794651770462
332,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-base-core,1.6536363537293008
333,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-calc,2.129522828113224
334,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-core,6.248974059104486
335,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-draw,4.992817866688521
336,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-help-en-us,8.500934438448688
337,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-math,8.384909720816205
338,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-ogltrans,1.2166370166405605
339,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-pdfimport,8.460681941174709
340,Subhankar-Virtualbox,CVE-2022-37052 affects libpoppler-cpp0v5,7.229780223615454
341,Subhankar-Virtualbox,CVE-2022-42799 affects libjavascriptcoregtk-4.0-18,5.226366398943462
342,Subhankar-Virtualbox,CVE-2023-22038 affects libmysqlclient21,7.122535329386861
343,Subhankar-Virtualbox,CVE-2022-3116 affects libhx509-5-heimdal,5.41927235385422
344,Subhankar-Virtualbox,CVE-2022-3116 affects libkrb5-26-heimdal,3.4964586329424776
345,Subhankar-Virtualbox,CVE-2023-23517 affects gir1.2-webkit2-4.0,6.9710568948354
346,Subhankar-Virtualbox,CVE-2023-23517 affects libjavascriptcoregtk-4.0-18,8.877458650511299
347,Subhankar-Virtualbox,CVE-2023-23518 affects gir1.2-webkit2-4.0,7.283227045646873
348,Subhankar-Virtualbox,CVE-2023-23518 affects libjavascriptcoregtk-4.0-18,7.7092578000832255
349,Subhankar-Virtualbox,CVE-2023-3446 affects openssl,7.11323390878118
350,Subhankar-Virtualbox,CVE-2021-4217 affects unzip,1.1976270025749358
351,Subhankar-Virtualbox,CVE-2021-4166 affects vim-tiny,4.59107086680023
352,Subhankar-Virtualbox,CVE-2022-30783 affects libntfs-3g883,9.568528721071827
353,Subhankar-Virtualbox,CVE-2022-30784 affects libntfs-3g883,9.898765391895566
354,Subhankar-Virtualbox,CVE-2022-30786 affects libntfs-3g883,2.8947552398598333
355,Subhankar-Virtualbox,CVE-2022-30786 affects ntfs-3g,4.910941449087478
356,Subhankar-Virtualbox,CVE-2022-30787 affects libntfs-3g883,8.202864970241512
357,Subhankar-Virtualbox,CVE-2022-30788 affects ntfs-3g,9.861610704222228
358,Subhankar-Virtualbox,CVE-2022-30789 affects ntfs-3g,7.049039101323457
359,Subhankar-Virtualbox,CVE-2023-26767 affects python3-louis,4.075437146342091
360,telaverge,CVE-2017-2616 affects bsdutils,7.082064528444426
361,telaverge,CVE-2013-0157 affects bsdutils,3.9519456659812735
362,telaverge,CVE-2014-9114 affects bsdutils,7.713335971293576
363,telaverge,CVE-2019-15847 affects libgcc1,6.733989743699995
364,yuvipep-dev,CVE-2018-16876 affects ansible,5.746977473714903
365,yuvipep-dev,CVE-2018-16837 affects ansible,5.302249189685504
366,yuvipep-dev,CVE-2017-7466 affects ansible,7.720686143134418
367,yuvipep-dev,CVE-2023-31419 affects elasticsearch,3.473448701801555
368,yuvipep-dev,CVE-2016-2779 affects bsdutils,1.3728482938074427
369,yuvipep-dev,CVE-2017-7481 affects ansible,3.6127498569621075
370,yuvipep-dev,CVE-2022-39046 affects multiarch-support,6.923955586290585
371,Subhankar-Virtualbox,CVE-2023-6185 affects libreoffice-writer,5.689951818878971
372,Subhankar-Virtualbox,CVE-2023-6185 affects libridl-java,9.470334668587771
373,Subhankar-Virtualbox,CVE-2023-6185 affects libuno-cppuhelpergcc3-3,8.546041738662742
374,Subhankar-Virtualbox,CVE-2023-6185 affects python3-uno,3.1786758049506436
375,Subhankar-Virtualbox,CVE-2023-6185 affects uno-libs-private,7.113077831360052
376,Subhankar-Virtualbox,CVE-2023-6186 affects fonts-opensymbol,3.687560732854833
377,Subhankar-Virtualbox,CVE-2023-6186 affects libjurt-java,7.270404025817051
378,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-base-core,8.710391555506167
379,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-calc,9.34825473600754
380,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-common,4.754976380900761
381,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-help-common,6.868486271119139
382,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-ogltrans,4.437141446110814
383,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-style-elementary,9.49549120346772
384,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-style-tango,7.60056699896579
385,Subhankar-Virtualbox,CVE-2023-6186 affects libreoffice-writer,4.276173306573106
386,Subhankar-Virtualbox,CVE-2023-6186 affects libridl-java,0.6261865836562319
387,Subhankar-Virtualbox,CVE-2023-6186 affects libunoloader-java,9.599022595717477
388,Subhankar-Virtualbox,CVE-2023-6186 affects uno-libs-private,7.53052726801302
389,Subhankar-Virtualbox,CVE-2023-7104 affects libsqlite3-0,7.823380089499824
390,Subhankar-Virtualbox,CVE-2022-21537 affects libmysqlclient21,4.366993850341303
391,Subhankar-Virtualbox,CVE-2022-21539 affects libmysqlclient21,7.504797930030785
392,Subhankar-Virtualbox,CVE-2020-35522 affects libtiff5,1.9720011140921134
393,Subhankar-Virtualbox,CVE-2022-37050 affects libpoppler-glib8,7.644403537950668
394,Subhankar-Virtualbox,CVE-2023-27932 affects gir1.2-webkit2-4.0,4.68136832016341
395,Subhankar-Virtualbox,CVE-2023-5380 affects xwayland,6.664565272790147
396,Subhankar-Virtualbox,CVE-2023-2828 affects bind9-host,4.7803427926555955
397,Subhankar-Virtualbox,CVE-2022-21125 affects intel-microcode,5.640875905749025
398,telaverge,PAM: Login session closed.,2.3
399,telaverge,Host-based anomaly detection event (rootcheck).,6.0
400,telaverge,Host-based anomaly detection event (rootcheck).,6.0
